B1,B2,B3,B4,B5,B6_VCID_2,B7,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
974849.5333333347,755504.4000000014,550901.2901960786,1847006.5098039198,995302.5333333353,6972279.043137249,447807.3686274508,00606926,25,7129925486,00,MA,25,A,+42.1565196,1,1,Massachusetts,-071.4895915,G4000,20205125364,00000000000000000033
836744.290196079,685054.5529411756,550316.2666666666,1545224.8901960792,997499.9686274499,5700247.121568627,489123.219607843,01779795,34,3544860246,00,NJ,34,A,+40.1072744,2,1,New Jersey,-074.6652012,G4000,19047825980,0000000000000000000e
4202895.282352913,3495864.184313693,2732519.835294121,1.0818287019607881E7,6434166.713725457,3.034106819999991E7,2837220.607843126,01779798,42,3394589990,00,PA,42,A,+40.9024957,2,1,Pennsylvania,-077.8334514,G4000,115884442321,00000000000000000012
5015842.101960804,4055937.992156863,2967818.8117647134,1.2288396109803813E7,6640928.333333306,3.6882507847058676E7,2848128.0745098125,01779796,36,19246994695,00,NY,36,A,+42.9133974,2,1,New York,-075.5962723,G4000,122049149763,00000000000000000026
5470125.690196091,4688242.250980397,4189378.635294123,1.1736894239215685E7,9365072.38823528,3.826695255294127E7,4957686.478431373,01779784,17,6214824948,00,IL,17,A,+40.1028754,3,2,Illinois,-089.1526108,G4000,143780567633,00000000000000000002
6347972.235294128,5138025.866666658,4077735.0784313786,1.3224584776470548E7,8506146.274509806,4.5199106470588E7,3956338.7960784226,01779806,55,29344951758,00,WI,55,A,+44.6309071,3,2,Wisconsin,-089.7093916,G4000,140290039723,0000000000000000000f
4235837.7294117715,3626850.7764705857,2921385.4823529418,1.0274904003921567E7,6499806.807843139,2.9730277294117652E7,3096615.219607845,01085497,39,10268850702,00,OH,39,A,+40.4149297,3,2,Ohio,-082.7119975,G4000,105828882568,00000000000000000018
9145149.85882348,6863460.262745101,4881877.462745104,1.4926462658823617E7,8795451.886274502,6.6739792823529266E7,4109348.654901959,01779789,26,103885855702,00,MI,26,A,+44.8441768,3,2,Michigan,-085.6604907,G4000,146600952990,0000000000000000002a
3358702.5803921614,2914987.1019607736,2375575.4431372527,8979617.050980411,5806315.600000005,2.4123620380392157E7,2795063.627450987,00448508,18,1538002829,00,IN,18,A,+39.9013136,3,2,Indiana,-086.2919129,G4000,92789302676,00000000000000000030
8742515.031372568,7282534.458823571,5987044.200000007,1.8812746356862742E7,1.300298866666673E7,6.2797932039216176E7,6461386.694117663,00662849,27,18945217189,00,MN,27,A,+46.3159573,4,2,Minnesota,-094.1996043,G4000,206228939448,00000000000000000003
7932767.10588225,7473303.533333383,7549212.850980425,1.6986549721568536E7,1.730313152941168E7,5.4053595341177255E7,1.0238450164705873E7,01779792,31,1371829134,00,NE,31,A,+41.5433053,4,2,Nebraska,-099.8118646,G4000,198956658395,00000000000000000011
7820276.874509796,7131333.968627432,6892601.27058821,1.6406638450980354E7,1.4010092172548978E7,5.3502483556862436E7,7837008.627450941,01779797,38,4403267548,00,ND,38,A,+47.4421740,4,2,North Dakota,-100.4608258,G4000,178707534813,00000000000000000020
6355298.172548989,5457162.780392142,4799138.10588233,1.4241457200000003E7,1.1594826149019588E7,4.48484195411763E7,5891317.615686262,01779791,29,2489425460,00,MO,29,A,+38.3507500,4,2,Missouri,-092.4567826,G4000,178050802184,0000000000000000002d
8215500.431372451,7688821.862744956,7870567.137254868,1.671231164705869E7,1.7738331843137164E7,5.4742513815684855E7,1.0856689098039215E7,00481813,20,1344141205,00,KS,20,A,+38.4985464,4,2,Kansas,-098.3834298,G4000,211755344060,0000000000000000002f
8293930.262745086,7708319.023529388,7703664.662745085,1.6723415219607834E7,1.678052112156864E7,5.627056971764691E7,9632159.0509804,01785534,46,3382720225,00,SD,46,A,+44.4467957,4,2,South Dakota,-100.2381762,G4000,196346981786,00000000000000000032
5484763.98039217,4802073.811764707,4247240.733333316,1.3887701780392155E7,1.0105786752941197E7,3.850055060392162E7,5111178.725490203,01779785,19,1084180812,00,IA,19,A,+42.0700243,4,2,Iowa,-093.4933473,G4000,144661267977,00000000000000000036
2055499.9803921569,1671022.125490196,1350916.6627451011,4903422.599999996,3262353.5215686313,1.5330137839215703E7,1451722.7176470582,01779805,54,489028543,00,WV,54,A,+38.6472854,5,3,West Virginia,-080.6183274,G4000,62266474513,00000000000000000000
5412575.8784313705,4426548.698039215,3501611.094117645,9381868.47450981,6731924.450980392,3.804699169411763E7,3417895.3372549005,00294478,12,31361101223,00,FL,12,A,+28.4574302,5,3,Florida,-082.4091477,G4000,138949136250,00000000000000000001
1152237.619607843,945850.6745098043,757337.4588235301,2223446.7450980395,1377373.8196078432,7904576.094117652,652338.0274509799,01714934,24,6979966958,00,MD,24,A,+38.9466584,5,3,Maryland,-076.6744939,G4000,25151100280,00000000000000000004
4610325.250980385,3749402.0549019463,3138053.2549019577,8926225.55294118,6599157.101960795,3.276949897254902E7,3344661.7882352844,01027616,37,13466071395,00,NC,37,A,+35.5397100,5,3,North Carolina,-079.1308636,G4000,125923656064,00000000000000000008
241643.18039215676,200910.40784313736,163601.91372549022,458997.52156862774,287901.12156862795,1595114.1058823527,140304.02352941182,01779781,10,1399985648,00,DE,10,A,+38.9985661,5,3,Delaware,-075.4416440,G4000,5045925646,0000000000000000000b
4837017.572549017,3947250.2313725464,3268181.784313727,9795579.686274521,7382955.60392157,3.5312542E7,3702655.0509803854,01705317,13,4422936154,00,GA,13,A,+32.6295789,5,3,Georgia,-083.4235109,G4000,149482048342,00000000000000000015
2679249.1960784313,2168560.4745098036,1783116.819607842,5225262.882352939,3825491.701960785,1.926790941568626E7,1911115.6549019574,01779799,45,5075218778,00,SC,45,A,+33.8741776,5,3,South Carolina,-080.8542639,G4000,77864918488,0000000000000000001b
3757629.341176453,3083409.631372544,2558787.1960784304,7894897.368627434,5516370.407843153,2.675110222352976E7,2622349.1333333207,01779803,51,8528531774,00,VA,51,A,+37.5222512,5,3,Virginia,-078.6681938,G4000,102257717110,00000000000000000034
7173.615686274508,6104.003921568628,5353.839215686274,11284.956862745095,7829.2627450980335,43922.35686274511,4693.203921568627,01702382,11,18687198,00,DC,11,A,+38.9041031,5,3,District of Columbia,-077.0172290,G4000,158340391,00000000000000000035
4271794.670588235,3446253.196078424,2863372.5725490153,8455502.376470601,6486552.176470597,3.115561282745092E7,3151412.5215686373,01779775,01,4593327154,00,AL,01,A,+32.7396323,6,3,Alabama,-086.8434593,G4000,131174048583,00000000000000000016
3645309.788235277,3041385.5333333174,2593593.1647058744,7893219.886274484,6060204.317647057,2.6065962313725274E7,2968043.815686273,01325873,47,2350123465,00,TN,47,A,+35.8608030,6,3,Tennessee,-086.3499896,G4000,106802728188,0000000000000000001d
3593048.921568634,3035506.631372544,2503548.529411751,8561708.999999989,6056136.925490208,2.574985978431367E7,2855274.705882344,01779786,21,2375337755,00,KY,21,A,+37.5336844,6,3,Kentucky,-085.2929801,G4000,102279490672,00000000000000000021
3962043.580392141,3236658.0156862754,2682850.6313725514,8086674.000000009,6081334.317647063,2.890559389019609E7,2928155.325490195,01779790,28,3926919758,00,MS,28,A,+32.6864714,6,3,Mississippi,-089.6561377,G4000,121533519481,0000000000000000002c
4269148.011764702,3507122.0549019566,2823929.6431372594,7410328.027450969,5280818.129411764,3.0624574603921533E7,2529980.717647058,01629543,22,23753621895,00,LA,22,A,+30.8634368,7,3,Louisiana,-091.7987173,G4000,111897594374,00000000000000000014
2.6161266384313736E7,2.5466676929411754E7,2.6925747101960804E7,5.036151952941173E7,5.4156607396078564E7,1.6542880803921536E8,3.535426269019608E7,01779801,48,19006305260,00,TX,48,A,+31.4347032,7,3,Texas,-099.2818238,G4000,676653171537,00000000000000000019
6415770.556862747,5866548.4588235365,5804304.882352943,1.3512846760784302E7,1.327379107058822E7,4.434949397254908E7,7635987.200000002,01102857,40,3374587997,00,OK,40,A,+35.5900512,7,3,Oklahoma,-097.4868149,G4000,177662925723,0000000000000000001c
4551271.611764714,3799388.431372544,3262436.3137254883,9407088.231372552,7347676.647058828,3.2631918403921552E7,3615836.607843134,00068085,05,2962859592,00,AR,05,A,+34.8955256,7,3,Arkansas,-092.4446262,G4000,134768872727,0000000000000000002b
8289832.239215685,7808963.450980385,7824589.078431407,1.6395535921568668E7,1.4467479592156883E7,6.063627974117691E7,9415535.992156861,01779783,16,2391722557,00,ID,16,A,+44.3484222,8,4,Idaho,-114.5588538,G4000,214049787659,00000000000000000006
1.3075347627451062E7,1.3964078368627433E7,1.6461433745098101E7,2.3826302188235253E7,2.819214000392172E7,7.846117957647136E7,2.1753353607843045E7,00897535,35,728776523,00,NM,35,A,+34.4346843,8,4,New Mexico,-106.1316181,G4000,314196306401,0000000000000000000c
1.0471262772549E7,1.1185711039215665E7,1.2703121035294103E7,1.8390423545098063E7,1.9556020098039202E7,5.84826843960786E7,1.4991874662745103E7,01455989,49,6998824394,00,UT,49,A,+39.3349925,8,4,Utah,-111.6563326,G4000,212886221680,00000000000000000017
1.0385508917647084E7,1.040225045098048E7,1.1230607956862811E7,1.9600326015686236E7,2.1360485717647187E7,6.962533977254839E7,1.482920728235298E7,01779779,08,1181621593,00,CO,08,A,+38.9938482,8,4,Colorado,-105.5083165,G4000,268422891711,0000000000000000001a
1.1590234019607797E7,1.200709756470582E7,1.3035263925490137E7,2.036121063137251E7,2.386405423137244E7,7.082498010980302E7,1.7308134129411783E7,01779807,56,1867670745,00,WY,56,A,+42.9896591,8,4,Wyoming,-107.5443922,G4000,251458544898,0000000000000000001e
1.4018347050980395E7,1.4688569027451009E7,1.6579677643137239E7,2.2009420772549044E7,2.471690438431371E7,7.798424506666665E7,1.926641890588237E7,01779793,32,2047206072,00,NV,32,A,+39.3310928,8,4,Nevada,-116.6151469,G4000,284329506470,00000000000000000027
1.6825470592156865E7,1.6069897552941201E7,1.6347195423529418E7,2.9889927494117666E7,3.227067965882353E7,1.1280082388235293E8,2.1218390247058816E7,00767982,30,3869208832,00,MT,30,A,+47.0511771,8,4,Montana,-109.6348174,G4000,376962738765,0000000000000000002e
1.2586017992156861E7,1.3473582921568612E7,1.6236950447058814E7,2.278786081568627E7,2.5298359439215697E7,7.482655275294124E7,1.9793113439215668E7,01779777,04,1027337603,00,AZ,04,A,+34.2039355,8,4,Arizona,-111.6063565,G4000,294198551143,00000000000000000037
1.7074914752941173E7,1.6668000850980401E7,1.7533561176470593E7,3.0740363454901934E7,2.846950808235295E7,1.0906187670196088E8,1.9606656333333373E7,01779778,06,20463871877,00,CA,06,A,+37.1551773,9,4,California,-119.5434183,G4000,403503931312,0000000000000000000d
9576803.803921564,8640410.070588231,8447071.003921561,1.8166954000000004E7,1.5357403133333325E7,7.081043365882353E7,1.0008326913725492E7,01155107,41,6192386935,00,OR,41,A,+43.9717125,9,4,Oregon,-120.6229578,G4000,248606993270,00000000000000000010
7492855.286274509,6523725.7058823565,5938566.647058824,1.4705681266666641E7,1.0124319631372541E7,5.33296122235295E7,5956272.513725484,01779804,53,12559278850,00,WA,53,A,+47.4073238,9,4,Washington,-120.5757999,G4000,172112588220,00000000000000000013
748471.5803921571,554872.9098039216,427533.25882352976,949859.6784313732,627725.6156862748,5613920.929411767,351437.36862745124,01779782,15,11777809026,00,HI,15,A,+19.5977643,9,4,Hawaii,-155.5024434,G4000,16633990195,0000000000000000001f
2.2754101752549064E8,1.9563334663137233E8,1.7630639055294147E8,2.69833920356863E8,8.986724755294134E7,6.914922949019611E8,4.9063199462745145E7,01785533,02,245481577452,00,AK,02,A,+63.3473560,9,4,Alaska,-152.8397334,G4000,1478839695958,00000000000000000028
